## AdhE spirosomes
Haloquadratum walsbyi 3_7_Hwalsbyi
Helicobacter pylori 8_2_Hpylori
Hylemonella gracilis 3_3_Hgracilis
Hyphomonas neptunium 5_3b_Hneptunium
Idiomarina loihiensis 5_6_Iloihiensis
Myxococcus xanthus 2_4_Mxanthus
Myxococcus xanthus 2_4c_Mxanthus
Prosthecobacter debontii 2_4d_Pdebontii
Pseudomonas aeruginosa 9_4_Paeruginosa
Pseudomonas flexibilis 6_5_Pflexibilis
Shewanella oneidensis 10_10_Soneidensis
Shewanella oneidensis 7_1_Soneidensis
Sulfolobus solfataricus 2_7_Ssolfataricus
Thermococcus kodakaraensis 8_3_Tkodakaraensis
Treponema primitia 6_7a_Tprimitia
Vibrio cholerae 10_4_Vcholerae

## Flagella (external, unsheathed)
Acetonema longum 4_6_Alongum
Acetonema longum 8_9_Alongum
Agrobacterium tumefaciens 9_1_Atumefaciens
Amoebophilus asiaticus 9_7a_Aasiaticus
Azospirillum brasilense 7_4a_Abrasilense
Bacillus subtilis 8_6a_Bsubtilis
Campylobacter jejuni 3_5_Cjejuni
Campylobacter jejuni 6_1_Cjejuni
Campylobacter jejuni 6_4_Cjejuni
Caulobacter crescentus 10_6_Ccrescentus
Caulobacter crescentus 5_7_Ccrescentus
Caulobacter crescentus 8_1_Ccrescentus
Caulobacter crescentus 8_4_Ccrescentus
Escherichia coli 9_10a_BbacteriovorusEcoli
Helicobacter pylori 6_4a_Hpylori
Hydrogenovibrio crunogenus 2_3_Hcrunogenus
Hylemonella gracilis 3_3_Hgracilis
Hylemonella gracilis 6_3_Hgracilis
Hyphomonas neptunium 5_3b_Hneptunium
Listeria monocytogenes 2_2_Lmonocytogenes
Methylomicrobium alcaliphilum 2_7a_Malcaliphilum
Proteus mirabilis 6_5a_Pmirabilis
Pseudomonas flexibilis 6_5_Pflexibilis
Salmonella typhimurium 7_2_Styphimurium
Shewanella oneidensis 10_1_Soneidensis
Shewanella oneidensis 10_10_Soneidensis
Shewanella oneidensis 4_2_Soneidensis
Shewanella oneidensis 7_1_Soneidensis
Sporomusa acidovorans 8_10c_Sacidovorans

## Flagella (periplasmic)
Borrelia burgdorferi 2_4a_Bburgdorferi
Borrelia burgdorferi 2_4b_Bburgdorferi
Borrelia burgdorferi 3_5a_Bburgdorferi
Borrelia burgdorferi 6_7_Bburgdorferi
Treponema primitia 6_7a_Tprimitia

## Flagella (sheathed)
Bdellovibrio bacteriovorus 2_10_Bbacteriovorus
Bdellovibrio bacteriovorus 6_2_Bbacteriovorus
Bdellovibrio bacteriovorus 9_10_BbacteriovorusEcoli
Helicobacter hepaticus 6_6_Hhepaticus
Vibrio cholerae 7_4_Vcholerae
Vibrio cholerae 7_5a_Vcholerae
Vibrio cholerae 9_11_BbacteriovorusVcholerae
Vibrio cholerae 9_7_Vcholerae

## Flagellar Motor (assembling)
Hylemonella gracilis 6_3_Hgracilis

## Flagellar Motor (disassembled)
Caulobacter crescentus 2_6_Ccrescentus
Helicobacter pylori 8_2_Hpylori
Hylemonella gracilis 3_3_Hgracilis
Pseudomonas aeruginosa 6_3a_Paeruginosa
Vibrio cholerae 7_4_Vcholerae
Vibrio cholerae 7_5a_Vcholerae
Vibrio cholerae 9_9_BbacteriovorusVcholerae

## Flagellar Motors
Bdellovibrio bacteriovorus 6_2a_Bbacteriovorus
Borrelia burgdorferi 2_4a_Bburgdorferi
Borrelia burgdorferi 3_5a_Bburgdorferi
Borrelia burgdorferi 6_7_Bburgdorferi
Campylobacter jejuni 6_1_Cjejuni
Hylemonella gracilis 6_3_Hgracilis
Proteus mirabilis 6_5a_Pmirabilis
Pseudomonas aeruginosa 6_3a_Paeruginosa
Vibrio cholerae 7_4_Vcholerae
Vibrio cholerae 7_5a_Vcholerae

## FtsZ Filaments
Caulobacter crescentus 5_10_Ccrescentus
Cupriavidus necator 5_9_Cnecator

## Gas Vesicles
Halobacterium salinarum 3_7a_Hsalinarum
Haloquadratum walsbyi 3_7_Hwalsbyi

## Gingipains
Porphyromonas gingivalis 9_8_Pgingivalis

## Holdfast
Prosthecobacter vanneervenii 8_4a_Pvanneervenii

## Intracytoplasmic Membrane
Methylomicrobium alcaliphilum 2_7a_Malcaliphilum
Methyloprofundus sedimenti 4_3a_Msedimenti
Rhodopseudomonas palustris 4_3_Rpalustris

## Invasion Portal
Bdellovibrio bacteriovorus 9_10_BbacteriovorusEcoli

## MACs
Pseudoalteromonas luteoviolacea 9_7b_Pluteoviolacea

## Magnetosomes
Magnetospirillum magneticum 7_6_Mmagneticum

## MamK filaments
Magnetospirillum magneticum 7_6_Mmagneticum

## Membrane (Inner)
Acetonema longum 4_6_Alongum
Acetonema longum 8_10_Alongum
Acetonema longum 8_10a_Alongum
Acetonema longum 8_11_Alongum
Acetonema longum 8_9_Alongum
Agrobacterium tumefaciens 4_9_Atumefaciens
Agrobacterium tumefaciens 5_8_Atumefaciens
Agrobacterium tumefaciens 9_1_Atumefaciens
Amoebophilus asiaticus 9_7a_Aasiaticus
Azospirillum brasilense 7_4a_Abrasilense
Bacteroidetes 10_2_Bacteroidetes
Bdellovibrio bacteriovorus 2_10_Bbacteriovorus
Bdellovibrio bacteriovorus 6_2_Bbacteriovorus
Bdellovibrio bacteriovorus 6_2a_Bbacteriovorus
Bdellovibrio bacteriovorus 9_10_BbacteriovorusEcoli
Bdellovibrio bacteriovorus 9_10a_BbacteriovorusEcoli
Bdellovibrio bacteriovorus 9_11_BbacteriovorusVcholerae
Bdellovibrio bacteriovorus 9_9_BbacteriovorusVcholerae
Borrelia burgdorferi 2_4a_Bburgdorferi
Borrelia burgdorferi 2_4b_Bburgdorferi
Borrelia burgdorferi 3_5a_Bburgdorferi
Borrelia burgdorferi 6_7_Bburgdorferi
Brucella abortus 3_2a_Babortus
Campylobacter jejuni 3_5_Cjejuni
Campylobacter jejuni 6_4_Cjejuni
Caulobacter crescentus 10_6_Ccrescentus
Caulobacter crescentus 10_6a_Ccrescentus
Caulobacter crescentus 2_6_Ccrescentus
Caulobacter crescentus 3_4_Ccrescentus
Caulobacter crescentus 4_1_Ccrescentus
Caulobacter crescentus 5_10_Ccrescentus
Caulobacter crescentus 5_2_Ccrescentus
Caulobacter crescentus 5_7_Ccrescentus
Caulobacter crescentus 5_7a_Ccrescentus
Caulobacter crescentus 8_1_Ccrescentus
Caulobacter crescentus 8_4_Ccrescentus
Chloroflexi 4_4_Chloroflexi
Chloroflexi 5_6b_Chloroflexi
Cupriavidus necator 3_2_Cnecator
Cupriavidus necator 4_8_Cnecator
Cupriavidus necator 5_9_Cnecator
Cupriavidus necator 5_9a_Cnecator
Delftia acidovorans 2_6a_Dacidovorans
Escherichia coli 10_5_Ecoli
Escherichia coli 9_5_Ecoli
Flavobacterium johnsoniae 6_11_Fjohnsoniae
Gluconacetobacter hansenii 9_2_Ghansenii
Halothiobacillus neapolitanus 4_7a_Hneapolitanus
Halothiobacillus neapolitanus 4_9b_Hneapolitanus
Helicobacter hepaticus 6_6_Hhepaticus
Helicobacter pylori 6_4a_Hpylori
Helicobacter pylori 8_2_Hpylori
Helicobacter pylori 9_3a_Hpylori
Hydrogenovibrio crunogenus 2_3_Hcrunogenus
Hydrogenovibrio crunogenus 4_7b_Hcrunogenus
Hydrogenovibrio crunogenus 4_9a_Hcrunogenus
Hylemonella gracilis 3_3_Hgracilis
Hylemonella gracilis 6_3_Hgracilis
Hyphomonas neptunium 5_3_Hneptunium
Hyphomonas neptunium 5_3a_Hneptunium
Hyphomonas neptunium 5_3b_Hneptunium
Idiomarina loihiensis 5_6_Iloihiensis
Legionella pneumophila 9_3_Lpneumophila
Lysobacter antibioticus 4_8a_Lantibioticus
Magnetospirillum magneticum 7_6_Mmagneticum
Methyloprofundus sedimenti 4_3a_Msedimenti
Mycobacterium marinum 2_5_Mmarinum
Myxococcus xanthus 2_4_Mxanthus
Myxococcus xanthus 2_4c_Mxanthus
Myxococcus xanthus 6_10_Mxanthus
Myxococcus xanthus 9_6_Mxanthus
Porphyromonas gingivalis 9_8_Pgingivalis
Prosthecobacter debontii 2_4d_Pdebontii
Prosthecobacter vanneervenii 3_6a_Pvanneervenii
Prosthecobacter vanneervenii 8_4a_Pvanneervenii
Proteus mirabilis 6_5a_Pmirabilis
Pseudomonas aeruginosa 6_3a_Paeruginosa
Pseudomonas aeruginosa 9_4_Paeruginosa
Pseudomonas flexibilis 6_5_Pflexibilis
Rhodopseudomonas palustris 4_3_Rpalustris
Salmonella typhimurium 7_2_Styphimurium
Shewanella oneidensis 10_1_Soneidensis
Shewanella oneidensis 10_3_Soneidensis
Shewanella oneidensis 4_2_Soneidensis
Shewanella oneidensis 7_1_Soneidensis
Simkania negevensis 3_1_Snegevensis
Sphingopyxis alaskensis 5_6a_Salaskensis
Sporomusa acidovorans 8_10c_Sacidovorans
Thiomonas intermedia 5_1_Tintermedia
Treponema primitia 6_7a_Tprimitia
Verrucomicrobium spinosum 3_6_Vspinosum
Vibrio cholerae 10_4_Vcholerae
Vibrio cholerae 10_7_Vcholerae
Vibrio cholerae 7_4_Vcholerae
Vibrio cholerae 7_5a_Vcholerae
Vibrio cholerae 9_7_Vcholerae

## Membrane (Monoderm)
Bacillus subtilis 8_5_Bsubtilis
Bacillus subtilis 8_5a_Bsubtilis
Bacillus subtilis 8_6_Bsubtilis
Bacillus subtilis 8_6a_Bsubtilis
Bacillus subtilis 8_6b_Bsubtilis
Clostridium thermocellum 2_7b_Cthermocellum
Clostridium thermocellum 4_5_Cthermocellum
Haloarcula argentinensis 2_9_Hargentinensis
Halobacterium salinarum 3_7a_Hsalinarum
Halobacterium salinarum 6_9c_Hsalinarum
Haloferax gibbonsii 4_10a_Hgibbonsii
Halohasta litchfieldiae 4_10b_Hlitchfieldiae
Halomicrobium mukohataei 2_4e_Hmukohataei
Haloquadratum walsbyi 3_7_Hwalsbyi
Halorubrum litoreum 4_10_Hlitoreum
Listeria monocytogenes 2_2_Lmonocytogenes
Methanobacterium formicicum 2_2c_Mformicicium
Methanoregula formicica 2_7d_Mformicica
Methanoregula formicica 3_2b_Mformicica
Methanoregula formicica 6_8_Mformicica
Methanoregula formicica 7_5_Mformicica
Methanospirillum hungatei 2_8_Mhungatei
Methanospirillum hungatei 7_3_Mhungatei
Methylomicrobium alcaliphilum 2_7a_Malcaliphilum
Mycoplasma genitalium 2_1_Mgenitalium
Mycoplasma pneumoniae 6_12_Mpneumoniae
Nitrosopumilus maritimus 2_7c_Nmaritimus
Staphylococcus aureus 5_4_Saureus
Sulfolobus acidocaldarius 5_11_Sacidocaldarius
Sulfolobus acidocaldarius 5_12_Sacidocaldarius
Sulfolobus solfataricus 10_8_Ssolfataricus
Sulfolobus solfataricus 10_9_Ssolfataricus
Sulfolobus solfataricus 2_7_Ssolfataricus
Tetrasphaera remsis 5_5_Tremsis
Thermococcus kodakaraensis 6_9_Tkodakaraensis
Thermococcus kodakaraensis 6_9a_Tkodakaraensis
Thermococcus kodakaraensis 6_9b_Tkodakaraensis
Thermococcus kodakaraensis 8_3_Tkodakaraensis

## Membrane (Outer)
Acetonema longum 4_6_Alongum
Acetonema longum 4_6_Alongum
Acetonema longum 8_10_Alongum
Acetonema longum 8_10a_Alongum
Acetonema longum 8_11_Alongum
Acetonema longum 8_9_Alongum
Agrobacterium tumefaciens 4_9_Atumefaciens
Agrobacterium tumefaciens 5_8_Atumefaciens
Agrobacterium tumefaciens 9_1_Atumefaciens
Amoebophilus asiaticus 9_7a_Aasiaticus
Azospirillum brasilense 7_4a_Abrasilense
Bacteroidetes 10_2_Bacteroidetes
Bdellovibrio bacteriovorus 2_10_Bbacteriovorus
Bdellovibrio bacteriovorus 6_2_Bbacteriovorus
Bdellovibrio bacteriovorus 6_2a_Bbacteriovorus
Bdellovibrio bacteriovorus 9_10_BbacteriovorusEcoli
Bdellovibrio bacteriovorus 9_10a_BbacteriovorusEcoli
Bdellovibrio bacteriovorus 9_11_BbacteriovorusVcholerae
Bdellovibrio bacteriovorus 9_9_BbacteriovorusVcholerae
Borrelia burgdorferi 2_4a_Bburgdorferi
Borrelia burgdorferi 2_4b_Bburgdorferi
Borrelia burgdorferi 3_5a_Bburgdorferi
Borrelia burgdorferi 6_7_Bburgdorferi
Brucella abortus 3_2a_Babortus
Campylobacter jejuni 3_5_Cjejuni
Campylobacter jejuni 6_1_Cjejuni
Campylobacter jejuni 6_4_Cjejuni
Caulobacter crescentus 10_6_Ccrescentus
Caulobacter crescentus 10_6a_Ccrescentus
Caulobacter crescentus 2_6_Ccrescentus
Caulobacter crescentus 3_4_Ccrescentus
Caulobacter crescentus 4_1_Ccrescentus
Caulobacter crescentus 5_10_Ccrescentus
Caulobacter crescentus 5_2_Ccrescentus
Caulobacter crescentus 5_7_Ccrescentus
Caulobacter crescentus 5_7a_Ccrescentus
Caulobacter crescentus 8_1_Ccrescentus
Caulobacter crescentus 8_4_Ccrescentus
Chloroflexi 4_4_Chloroflexi
Chloroflexi 5_6b_Chloroflexi
Cupriavidus necator 3_2_Cnecator
Cupriavidus necator 4_8_Cnecator
Cupriavidus necator 5_9_Cnecator
Cupriavidus necator 5_9a_Cnecator
Delftia acidovorans 2_6a_Dacidovorans
Escherichia coli 10_5_Ecoli
Escherichia coli 9_5_Ecoli
Flavobacterium johnsoniae 6_11_Fjohnsoniae
Gluconacetobacter hansenii 9_2_Ghansenii
Halothiobacillus neapolitanus 4_7a_Hneapolitanus
Halothiobacillus neapolitanus 4_9b_Hneapolitanus
Helicobacter hepaticus 6_6_Hhepaticus
Helicobacter pylori 6_4a_Hpylori
Helicobacter pylori 8_2_Hpylori
Helicobacter pylori 9_3a_Hpylori
Hydrogenovibrio crunogenus 2_3_Hcrunogenus
Hydrogenovibrio crunogenus 4_7b_Hcrunogenus
Hydrogenovibrio crunogenus 4_9a_Hcrunogenus
Hylemonella gracilis 3_3_Hgracilis
Hylemonella gracilis 6_3_Hgracilis
Hyphomonas neptunium 5_3_Hneptunium
Hyphomonas neptunium 5_3a_Hneptunium
Hyphomonas neptunium 5_3b_Hneptunium
Idiomarina loihiensis 5_6_Iloihiensis
Legionella pneumophila 9_3_Lpneumophila
Lysobacter antibioticus 4_8a_Lantibioticus
Magnetospirillum magneticum 7_6_Mmagneticum
Methyloprofundus sedimenti 4_3a_Msedimenti
Mycobacterium marinum 2_5_Mmarinum
Myxococcus xanthus 2_4_Mxanthus
Myxococcus xanthus 2_4c_Mxanthus
Myxococcus xanthus 6_10_Mxanthus
Myxococcus xanthus 9_6_Mxanthus
Porphyromonas gingivalis 9_8_Pgingivalis
Prosthecobacter debontii 2_4d_Pdebontii
Prosthecobacter vanneervenii 3_6a_Pvanneervenii
Prosthecobacter vanneervenii 8_4a_Pvanneervenii
Proteus mirabilis 6_5a_Pmirabilis
Pseudomonas aeruginosa 6_3a_Paeruginosa
Pseudomonas aeruginosa 9_4_Paeruginosa
Pseudomonas flexibilis 6_5_Pflexibilis
Rhodopseudomonas palustris 4_3_Rpalustris
Salmonella typhimurium 7_2_Styphimurium
Shewanella oneidensis 10_1_Soneidensis
Shewanella oneidensis 10_3_Soneidensis
Shewanella oneidensis 4_2_Soneidensis
Shewanella oneidensis 7_1_Soneidensis
Simkania negevensis 3_1_Snegevensis
Sphingopyxis alaskensis 5_6a_Salaskensis
Sporomusa acidovorans 8_10c_Sacidovorans
Thiomonas intermedia 5_1_Tintermedia
Treponema primitia 6_7a_Tprimitia
Verrucomicrobium spinosum 3_6_Vspinosum
Vibrio cholerae 10_4_Vcholerae
Vibrio cholerae 10_7_Vcholerae
Vibrio cholerae 7_4_Vcholerae
Vibrio cholerae 7_5a_Vcholerae
Vibrio cholerae 9_7_Vcholerae

## Cellulose
Agrobacterium tumefaciens 9_1_Atumefaciens
Gluconacetobacter hansenii 9_2_Ghansenii

## Metal deposits
Shewanella oneidensis 4_2_Soneidensis

## Microtubules
Prosthecobacter debontii 2_4d_Pdebontii
Prosthecobacter vanneervenii 3_6a_Pvanneervenii
Prosthecobacter vanneervenii 8_4a_Pvanneervenii

## Nanopods
Delftia acidovorans 2_6a_Dacidovorans

## Nanowire
Shewanella oneidensis 4_2_Soneidensis

## Nucleoid
Bdellovibrio bacteriovorus 2_10_Bbacteriovorus
Bdellovibrio bacteriovorus 6_2_Bbacteriovorus
Bdellovibrio bacteriovorus 9_10_BbacteriovorusEcoli
Bdellovibrio bacteriovorus 9_10a_BbacteriovorusEcoli
Bdellovibrio bacteriovorus 9_11_BbacteriovorusVcholerae
Bdellovibrio bacteriovorus 9_9_BbacteriovorusVcholerae
Caulobacter crescentus 8_1_Ccrescentus
Vibrio cholerae 10_7_Vcholerae

## Pdu microcompartments
Acetonema longum 4_6_Alongum
Acetonema longum 8_9_Alongum

## Phage capsids
Bacteroidetes 10_2_Bacteroidetes
Caulobacter crescentus 10_6_Ccrescentus
Caulobacter crescentus 10_6a_Ccrescentus
Escherichia coli 10_5_Ecoli
Pseudomonas aeruginosa 9_4_Paeruginosa
